__row_id__,title_clean_sim,cosine_similarity,token_overlap,bert_similarity,title_length,sensational_word_count,punctuation_count,punctuation_ratio,is_clickbait_auto,is_clickbait_bert
0,kejagung sudah periksa 20 orang lebih terkait kasus limbah sawit,0.2433539614353892,0.8888888888888888,0.4437485039234161,10,4,0,0.0,0,1
1,jimly asshiddiqie-mahfud ke istana jelang pelantikan komite reformasi polri,0.3970824915945333,0.8888888888888888,0.4891166985034942,10,5,0,0.0,0,0
2,kejagung limpahkan berkas nadiem makarim dkk ke jpu pekan depan,0.4784998953216365,0.6666666666666666,0.4995556175708771,10,2,0,0.0,0,0
3,pramono anung cek lokasi ledakan di sman 72 jakarta,0.5770845278665225,0.75,0.5291773676872253,9,3,0,0.0,0,0
4,pan akan taati putusan mkd dpr soal uya kuya dan eko patrio,0.696647779081073,0.8,0.4714730083942413,12,6,0,0.0,0,0
5,"prabowo lantik komisi percepatan reformasi kepolisian, jimly jadi ketua",0.4454388835189082,0.8888888888888888,0.5297631621360779,9,6,0,0.0,0,0
6,fakta-fakta ledakan sman 72 kelapa gading sejauh ini,0.5886450031768298,0.8571428571428571,0.4951869249343872,9,4,0,0.0,0,0
7,"ragam ekskul di sma kemala taruna bhayangkara: menembak, olahraga hingga robotic",0.2559154663143656,0.7,0.4965473413467407,11,3,1,0.0125,1,0
8,kesaksian siswa sman 72 histeris dengar ledakan hingga lari berhamburan,0.4213739191026977,0.8,0.5086179375648499,10,5,0,0.0,0,0
9,27 korban ledakan sman 72 jakarta dirawat di rs islam cempaka putih,0.6232734098938991,0.9090909090909092,0.5086259245872498,12,5,0,0.0,0,0
10,komisi ii dpr usul kepala daerah dapat insentif pad demi cegah korupsi,0.3362060452475456,0.9,0.4014928340911865,12,8,0,0.0,0,1
11,"usai dari sman 72, pramono tengok korban ledakan di rs isiam cempaka putih",0.6087899204565269,0.7272727272727273,0.622018575668335,13,4,0,0.0,0,0
12,polres metro tangerang kota resmikan ojol mart bagi komunitas ojek online,0.6588724529881306,0.9,0.4801081418991089,11,8,0,0.0,0,0
13,kapolda pimpin apel ojol kamtibmas untuk banten aman,0.5146065063854102,0.8571428571428571,0.4601609408855438,8,6,0,0.0,0,0
14,inggris siap pertimbangkan jika indonesia ingin pulangkan napi wni,0.26923948062657,0.7142857142857143,0.3764784038066864,9,5,0,0.0,1,1
15,apakah pertalite mengandung etanol?,0.7287302287277626,0.6666666666666666,0.451601892709732,4,0,1,0.02857142857142857,0,0
16,filosofi honda: setiap teknologi harus permudah hidup manusia,0.421020077354626,0.6666666666666666,0.5192471742630005,8,4,1,0.01639344262295082,0,0
17,"siap-siap, bakal ada operasi zebra!",0.4643065805711758,0.5,0.4890980720520019,6,4,1,0.02857142857142857,0,0
18,asa ammar zoni dari balik jeruji nusakambangan,0.5420031126805899,0.5,0.3458758592605591,7,4,0,0.0,0,1
19,waka mpr dukung komitmen prabowo lindungi investasi asing masuk ke ri,0.4152888452050456,0.7,0.496496170759201,11,8,0,0.0,0,0
20,asdp perluas layanan ferizy ke pelabuhan bitung sulawesi utara,0.6361189527378515,0.875,0.4691160917282104,9,1,0,0.0,0,0
21,"pegawai non-asn datangi dprd magelang, minta diangkat jadi pppk paruh waktu",0.6777928239423409,0.9166666666666666,0.5434717535972595,12,8,0,0.0,0,0
22,"kronologi terbongkarnya 87 kontainer langgar ekspor cpo senilai rp 2,8 t",0.2339280709072178,0.7272727272727273,0.463064432144165,12,5,0,0.0,0,0
